"ActiveCells","POR","PERMI","PERMJ","PERMK","Pressure[0]","Pressure[366]","Pressure[731]","Pressure[1096]","Pressure[1461]","Pressure[1827]","Pressure[2192]","Pressure[2557]","Pressure[2699.793]","CO2Gas[0]","CO2Gas[366]","CO2Gas[731]","CO2Gas[1096]","CO2Gas[1461]","CO2Gas[1827]","CO2Gas[2192]","CO2Gas[2557]","CO2Gas[2699.793]","CO2Oil[0]","CO2Oil[366]","CO2Oil[731]","CO2Oil[1096]","CO2Oil[1461]","CO2Oil[1827]","CO2Oil[2192]","CO2Oil[2557]","CO2Oil[2699.793]","CO2Water[0]","CO2Water[366]","CO2Water[731]","CO2Water[1096]","CO2Water[1461]","CO2Water[1827]","CO2Water[2192]","CO2Water[2557]","CO2Water[2699.793]","Cell Type"
1,0.02,0.3548,0.3548,0.03548,16450,15322.5,14186.4,13585.7,13308,13139.3,13037.9,12959.6,12933,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.0392,0.456,0.456,0.0456,16450,15277.4,14105.6,13509.6,13240.5,13082.4,12983.2,12904.9,12878.1,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.0304,0.8962,0.8962,0.08962,16450,15217.1,14011.8,13422.4,13165.5,13019.7,12923.5,12845.6,12818.4,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.02,0.4286,0.4286,0.04286,16450,15179.8,13963.8,13384.7,13138.4,13001.3,12908,12830.9,12803.7,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.0833,1.7566,1.7566,0.17566,16450,15181.8,13962.7,13388,13145.9,13012.4,12920.5,12843.7,12816.6,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.0785,5.4238,5.4238,0.54238,16450,15232.9,14013.2,13440.2,13199.8,13067.5,12976,12899.5,12872.5,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.001,0.001,0.001,0.0001,16450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
1,0.0259,4.1062,4.1062,0.41062,16450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
1,0.041,27.4702,27.4702,2.74702,16450,15956.4,15884.6,15812.3,15787,15746.4,15740.1,15716.1,15715,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0,0,0,0,0,0,0,0,0,12
1,0.02,32.1753,32.1753,3.21753,16450,15837.6,15763.7,15690.2,15664,15623,15616.2,15592.1,15590.9,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.0278,7.4492,7.4492,0.74492,16450,15873.7,15795.9,15720.4,15692.4,15650.7,15643.1,15618.9,15617.4,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.02,0.8333,0.8333,0.08333,16450,15865,15781,15702.1,15671.8,15629.1,15620.5,15596.3,15594.3,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.0272,0.1751,0.1751,0.01751,16450,15829.1,15727.7,15638.3,15601.6,15555.4,15544.2,15519.5,15516.8,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
