"ActiveCells","POR","PERMI","PERMJ","PERMK","Pressure[0]","Pressure[366]","Pressure[731]","Pressure[1096]","Pressure[1461]","Pressure[1827]","Pressure[2122.007]","CO2Gas[0]","CO2Gas[366]","CO2Gas[731]","CO2Gas[1096]","CO2Gas[1461]","CO2Gas[1827]","CO2Gas[2122.007]","CO2Oil[0]","CO2Oil[366]","CO2Oil[731]","CO2Oil[1096]","CO2Oil[1461]","CO2Oil[1827]","CO2Oil[2122.007]","CO2Water[0]","CO2Water[366]","CO2Water[731]","CO2Water[1096]","CO2Water[1461]","CO2Water[1827]","CO2Water[2122.007]","Cell Type"
1,0.02,1.3067,1.3067,0.13067,16450,14737,13606,13150,12964,12840,12761,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.0687,5.1888,5.1888,0.51888,16450,14708,13568,13120,12938,12817,12739,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.088,7.3404,7.3404,0.73404,16450,14729,13587,13142,12962,12842,12764,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.0483,9.0485,9.0485,0.90485,16450,14770,13628,13185,13004,12885,12807,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.0313,0.9639,0.9639,0.09639,16450,16450,16450,16450,16450,16450,16450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
1,0.0559,0.9662,0.9662,0.09662,16450,15954,15922,15872,15877,15848,15858,0,0,0,0,0,0,0,0.003,0.003,0.002,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,12
1,0.11,1.1865,1.1865,0.11865,16450,15705,15658,15582,15587,15545,15558,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.002,0.002,0.001,0,0,0,0,0,0,0,12
1,0.1442,2.0945,2.0945,0.20945,16450,15617,15548,15447,15451,15399,15414,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.1276,2.652,2.652,0.2652,16450,15500,15388,15254,15252,15187,15201,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.101,9.2239,9.2239,0.92239,16450,15387,15238,15082,15074,15003,15015,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.0506,4.6154,4.6154,0.46154,16450,15297,15132,14968,14955,14881,14891,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.0724,1.2291,1.2291,0.12291,16450,15243,15064,14893,14875,14800,14808,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.0715,0.2514,0.2514,0.02514,16450,15230,15013,14826,14797,14719,14723,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.0718,0.8251,0.8251,0.08251,16450,15318,15051,14842,14797,14715,14712,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.0704,0.7827,0.7827,0.07827,16450,15427,15149,14935,14886,14803,14799,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.099,0.97,0.97,0.097,16450,15545,15255,15035,14983,14898,14892,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.0932,0.1265,0.1265,0.01265,16450,15662,15326,15083,15014,14925,14913,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.0754,0.0486,0.0486,0.00486,16450,15695,15243,14935,14816,14710,14679,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.0888,0.0425,0.0425,0.00425,16450,15685,15102,14713,14533,14399,14343,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.1134,0.0575,0.0575,0.00575,16450,15619,14945,14503,14290,14140,14069,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.0595,0.0911,0.0911,0.00911,16450,15542,14821,14353,14130,13971,13896,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.0389,0.124,0.124,0.0124,16450,15472,14718,14235,14009,13847,13771,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.0473,0.0667,0.0667,0.00667,16450,15451,14654,14150,13915,13748,13668,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.0766,0.0865,0.0865,0.00865,16450,15436,14597,14072,13828,13656,13573,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.0514,0.2032,0.2032,0.02032,16450,15407,14522,13974,13720,13543,13455,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.0293,0.2168,0.2168,0.02168,16450,15355,14432,13869,13610,13430,13340,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.0216,0.1758,0.1758,0.01758,16450,15340,14372,13791,13521,13338,13246,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.0386,0.071,0.071,0.0071,16450,15320,14315,13727,13456,13276,13183,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.047,0.036,0.036,0.0036,16450,15280,14221,13631,13362,13187,13095,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.0779,0.0893,0.0893,0.00893,16450,15223,14121,13531,13265,13095,13003,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.0236,0.0648,0.0648,0.00648,16450,15134,14007,13428,13173,13010,12921,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
1,0.024,0.0128,0.0128,0.00128,16450,15017,13870,13319,13084,12933,12847,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,12
